timestamp,power_w
2025-11-30T18:20:55.244,21.535
2025-11-30T18:20:55.345,21.539
2025-11-30T18:20:55.447,21.539
2025-11-30T18:20:55.549,21.534
2025-11-30T18:20:55.651,21.536
2025-11-30T18:20:55.753,21.536
2025-11-30T18:20:55.855,21.527
2025-11-30T18:20:55.957,21.527
2025-11-30T18:20:56.058,21.524
2025-11-30T18:20:56.160,21.514
2025-11-30T18:20:56.262,21.515
2025-11-30T18:20:56.363,21.509
2025-11-30T18:20:56.464,21.504
2025-11-30T18:20:56.565,21.499
2025-11-30T18:20:56.667,21.509
2025-11-30T18:20:56.767,21.498
2025-11-30T18:20:56.869,21.49
2025-11-30T18:20:56.971,21.496
2025-11-30T18:20:57.072,21.491
2025-11-30T18:20:57.173,21.502
2025-11-30T18:20:57.273,21.509
2025-11-30T18:20:57.375,21.505
2025-11-30T18:20:57.476,21.516
2025-11-30T18:20:57.577,21.519
2025-11-30T18:20:57.678,21.529
2025-11-30T18:20:57.780,21.522
2025-11-30T18:20:57.882,21.525
2025-11-30T18:20:57.983,21.525
2025-11-30T18:20:58.084,21.515
2025-11-30T18:20:58.187,21.517
2025-11-30T18:20:58.289,21.509
2025-11-30T18:20:58.391,21.503
2025-11-30T18:20:58.495,21.515
2025-11-30T18:20:58.598,21.533
2025-11-30T18:20:58.700,21.531
2025-11-30T18:20:58.804,21.538
2025-11-30T18:20:58.912,21.537
2025-11-30T18:20:59.016,21.551
2025-11-30T18:20:59.119,21.623
2025-11-30T18:20:59.220,21.637
2025-11-30T18:20:59.327,21.641
2025-11-30T18:20:59.434,21.639
2025-11-30T18:20:59.538,21.656
2025-11-30T18:20:59.644,21.661
2025-11-30T18:20:59.746,21.663
2025-11-30T18:20:59.849,21.682
2025-11-30T18:20:59.950,21.736
2025-11-30T18:21:00.050,21.754
2025-11-30T18:21:00.151,21.73
