timestamp,power_w
2025-11-24T04:23:54.036,30.373
2025-11-24T04:23:54.145,30.344
2025-11-24T04:23:54.327,30.263
2025-11-24T04:23:54.685,28.301
2025-11-24T04:23:54.801,27.623
2025-11-24T04:23:54.903,26.924
2025-11-24T04:23:55.003,26.192
2025-11-24T04:23:55.104,25.517
2025-11-24T04:23:55.206,24.825
2025-11-24T04:23:55.326,24.178
2025-11-24T04:23:55.434,23.535
2025-11-24T04:23:55.538,22.887
2025-11-24T04:23:55.641,22.856
2025-11-24T04:23:55.750,22.86
2025-11-24T04:23:55.855,22.834
2025-11-24T04:23:55.958,22.879
2025-11-24T04:23:56.064,24.543
2025-11-24T04:23:56.192,27.909
2025-11-24T04:23:56.308,29.601
2025-11-24T04:23:56.421,31.266
2025-11-24T04:23:56.549,32.934
2025-11-24T04:23:56.653,34.606
2025-11-24T04:23:56.769,36.273
2025-11-24T04:23:56.883,39.677
2025-11-24T04:23:56.992,41.316
2025-11-24T04:23:57.118,41.377
2025-11-24T04:23:57.250,41.415
2025-11-24T04:23:57.352,41.41
2025-11-24T04:23:57.460,41.567
2025-11-24T04:23:57.599,41.913
2025-11-24T04:23:57.759,42.104
2025-11-24T04:23:57.889,42.491
2025-11-24T04:23:58.035,42.693
2025-11-24T04:23:58.251,43.093
2025-11-24T04:23:58.352,43.107
2025-11-24T04:23:58.452,43.314
2025-11-24T04:23:58.619,43.41
2025-11-24T04:23:58.752,43.27
2025-11-24T04:23:58.858,43.236
2025-11-24T04:23:58.977,43.193
