timestamp,power_w
2025-11-24T04:26:25.351,37.591
2025-11-24T04:26:25.452,37.101
2025-11-24T04:26:25.552,36.414
2025-11-24T04:26:25.653,35.821
2025-11-24T04:26:25.754,35.243
2025-11-24T04:26:25.855,34.741
2025-11-24T04:26:25.955,34.241
2025-11-24T04:26:26.056,33.762
2025-11-24T04:26:26.157,33.244
2025-11-24T04:26:26.257,32.744
2025-11-24T04:26:26.357,32.253
2025-11-24T04:26:26.458,31.748
2025-11-24T04:26:26.559,31.684
2025-11-24T04:26:26.659,31.693
2025-11-24T04:26:26.760,31.679
2025-11-24T04:26:26.860,31.681
2025-11-24T04:26:26.960,31.652
2025-11-24T04:26:27.061,31.67
2025-11-24T04:26:27.162,31.665
2025-11-24T04:26:27.262,31.677
2025-11-24T04:26:27.363,31.68
2025-11-24T04:26:27.463,31.66
2025-11-24T04:26:27.563,31.658
2025-11-24T04:26:27.664,31.669
2025-11-24T04:26:27.764,31.606
2025-11-24T04:26:27.865,31.597
2025-11-24T04:26:27.965,31.572
2025-11-24T04:26:28.066,31.568
2025-11-24T04:26:28.169,31.571
2025-11-24T04:26:28.269,31.59
2025-11-24T04:26:28.369,31.593
2025-11-24T04:26:28.470,31.573
2025-11-24T04:26:28.570,31.562
2025-11-24T04:26:28.670,31.53
2025-11-24T04:26:28.770,31.503
2025-11-24T04:26:28.871,31.505
2025-11-24T04:26:28.971,31.497
2025-11-24T04:26:29.072,31.478
2025-11-24T04:26:29.175,31.517
2025-11-24T04:26:29.275,31.504
2025-11-24T04:26:29.376,31.488
2025-11-24T04:26:29.476,31.492
2025-11-24T04:26:29.577,31.528
2025-11-24T04:26:29.677,31.547
2025-11-24T04:26:29.778,31.57
2025-11-24T04:26:29.878,31.564
2025-11-24T04:26:29.978,31.554
2025-11-24T04:26:30.080,31.541
2025-11-24T04:26:30.181,31.609
2025-11-24T04:26:30.281,31.588
