timestamp,power_w
2025-11-24T04:37:47.082,22.191
2025-11-24T04:37:47.183,22.262
2025-11-24T04:37:47.284,22.296
2025-11-24T04:37:47.601,22.376
2025-11-24T04:37:47.702,22.358
2025-11-24T04:37:47.924,22.36
2025-11-24T04:37:48.044,22.371
2025-11-24T04:37:48.145,22.374
2025-11-24T04:37:48.248,22.273
2025-11-24T04:37:48.361,22.142
2025-11-24T04:37:48.650,21.777
2025-11-24T04:37:48.771,21.722
2025-11-24T04:37:48.874,22.042
2025-11-24T04:37:48.986,25.618
2025-11-24T04:37:49.118,27.452
2025-11-24T04:37:49.219,29.193
2025-11-24T04:37:49.321,31.076
2025-11-24T04:37:49.422,33.025
2025-11-24T04:37:49.524,34.909
2025-11-24T04:37:49.624,36.766
2025-11-24T04:37:49.725,38.593
2025-11-24T04:37:49.827,40.401
2025-11-24T04:37:49.928,41.947
2025-11-24T04:37:50.029,41.905
2025-11-24T04:37:50.131,41.957
2025-11-24T04:37:50.232,41.889
2025-11-24T04:37:50.341,41.872
2025-11-24T04:37:50.544,42.0
2025-11-24T04:37:50.651,42.148
2025-11-24T04:37:50.758,42.304
2025-11-24T04:37:50.865,42.312
2025-11-24T04:37:51.005,42.228
2025-11-24T04:37:51.163,42.299
2025-11-24T04:37:51.343,42.28
2025-11-24T04:37:51.530,42.205
2025-11-24T04:37:51.646,42.108
2025-11-24T04:37:51.785,41.929
2025-11-24T04:37:51.932,41.779
2025-11-24T04:37:52.049,41.777
