timestamp,power_w
2025-11-24T04:35:47.059,23.122
2025-11-24T04:35:47.160,25.054
2025-11-24T04:35:47.260,26.883
2025-11-24T04:35:47.361,28.733
2025-11-24T04:35:47.462,30.555
2025-11-24T04:35:47.562,32.378
2025-11-24T04:35:47.663,34.189
2025-11-24T04:35:47.764,36.08
2025-11-24T04:35:47.864,38.328
2025-11-24T04:35:47.965,40.574
2025-11-24T04:35:48.065,42.816
2025-11-24T04:35:48.166,43.381
2025-11-24T04:35:48.266,43.701
2025-11-24T04:35:48.367,44.134
2025-11-24T04:35:48.468,44.548
2025-11-24T04:35:48.589,44.996
2025-11-24T04:35:48.827,45.643
2025-11-24T04:35:48.950,46.231
2025-11-24T04:35:49.094,45.986
2025-11-24T04:35:49.208,45.791
2025-11-24T04:35:49.328,45.596
2025-11-24T04:35:49.594,45.332
2025-11-24T04:35:49.747,43.846
2025-11-24T04:35:49.957,43.389
2025-11-24T04:35:50.100,43.198
2025-11-24T04:35:50.524,41.139
2025-11-24T04:35:50.672,36.788
2025-11-24T04:35:50.794,35.915
2025-11-24T04:35:50.905,35.017
2025-11-24T04:35:51.016,34.01
2025-11-24T04:35:51.138,32.721
2025-11-24T04:35:51.241,31.584
2025-11-24T04:35:51.360,31.563
2025-11-24T04:35:51.535,31.414
2025-11-24T04:35:51.636,31.373
2025-11-24T04:35:51.755,31.31
2025-11-24T04:35:51.863,31.18
2025-11-24T04:35:51.985,31.204
